Title,Rating,Votes,Duration,Genre
Mufasa: The Lion King,6.6, 64K,1h 58m,Family
Moana 2,6.6, 102K,1h 40m,Family
Flow,7.9, 75K,1h 25m,Family
Sonic the Hedgehog 3,6.9, 59K,1h 50m,Family
Paddington in Peru,6.7, 21K,1h 46m,Family
How to Make Millions Before Grandma Dies,8.0, 15K,2h 5m,Family
Transformers One,7.6, 51K,1h 44m,Family
Despicable Me 4,6.2, 66K,1h 34m,Family
The Day the Earth Blew Up: A Looney Tunes Movie,7.0, 4.3K,1h 31m,Family
Inside Out 2,7.5, 217K,1h 36m,Family
IF,6.4, 58K,1h 44m,Family
Kung Fu Panda 4,6.3, 68K,1h 34m,Family
Average Joe,4.3, 577,1h 40m,Family
The Garfield Movie,5.7, 24K,1h 41m,Family
My Penguin Friend,6.7, 5.2K,1h 37m,Family
Harold and the Purple Crayon,5.7, 8.4K,1h 30m,Family
Descendants: The Rise of Red,4.7, 7K,1h 31m,Family
Young Hearts,8.0, 4.8K,1h 39m,Family
Wallace & Gromit: Vengeance Most Fowl,7.5, 35K,1h 22m,Family
Spellbound,5.5, 7.4K,1h 49m,Family
The Forge,6.7, 4.9K,2h 4m,Family
Not Just a Goof,7.8, 324,1h 27m,Family
Hitpig,5.1, 946,1h 26m,Family
Piece by Piece,6.9, 5.4K,1h 33m,Family
Thelma the Unicorn,5.7, 3K,1h 33m,Family
Faith of Angels,5.8, 232,1h 38m,Family
Buffalo Kids,6.6, 696,1h 33m,Family
Unsung Hero,7.0, 5K,1h 53m,Family
Megamind vs. The Doom Syndicate,2.5, 5.6K,1h 23m,Family
Orion and the Dark,6.3, 17K,1h 33m,Family
Lost on a Mountain in Maine,6.1, 1.2K,1h 38m,Family
You Gotta Believe,5.8, 1.3K,1h 44m,Family
The Thundermans Return,5.0, 1.8K,1h 10m,Family
That Christmas,6.8, 17K,1h 31m,Family
Ultraman: Rising,6.9, 6.4K,1h 57m,Family
A Carpenter's Prayer,6.1, 93,1h 31m,Family
Woody Woodpecker Goes to Camp,4.5, 2.6K,1h 40m,Family
Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, 3.9K,1h 22m,Family
Big World,7.3, 1.3K,2h 11m,Family
10 Lives,5.9, 1.9K,1h 28m,Family
Doraemon the Movie: Nobita's Earth Symphony,6.6, 1.5K,1h 55m,Family
Chuck Billy and the Marvelous Guava Tree,7.4, 1K,1h 30m,Family
200% Wolf,5.9, 1.3K,1h 38m,Family
Meiyazhagan,8.4, 14K,2h 57m,Family
Panda Plan,5.1, 1.3K,1h 39m,Family
The Tiger's Apprentice,5.7, 2.2K,1h 24m,Family
Bambi: A Tale of Life in the Woods,5.7, 176,1h 18m,Family
Panda Bear in Africa,5.5, 348,1h 24m,Family
Woodwalkers,5.3, 436,1h 43m,Family
Autumn and the Black Jaguar,5.6, 1K,1h 40m,Family
Crayon Shin-chan: Ora's Dinosaur Diary,6.5, 362,1h 46m,Family
Bibi Rajni,8.5, 723,2h 23m,Family
A Brother and 7 Siblings,8.6, 1.2K,2h 9m,Family
Super-Charlie,5.8, 123,1h 20m,Family
Runt,6.4, 530,1h 31m,Family
A Sloth Story,5.6, 206,1h 30m,Family
Mountain Boy,8.4, 25,1h 33m,Family
Rebellious,6.0, 196,1h 34m,Family
And the Breadwinner Is...,6.7, 263,2h 3m,Family
Ryan's World the Movie: Titan Universe Adventure,1.8, 691,1h 20m,Family
The Night Before Christmas in Wonderland,6.3, 519,1h 20m,Family
Man and Witch: The Dance of a Thousand Steps,5.5, 332,1h 34m,Family
Elli and the Ghostly Ghost Train,5.1, 101,1h 26m,Family
Noah's Ark,4.3, 663,1h 36m,Family
The Groomsmen: First Look,6.1, 390,1h 22m,Family
Savages,6.8, 343,1h 27m,Family
Dongeng Sang Kancil,6.8, 174,1h 39m,Family
2nd Miracle in Cell No. 7,7.7, 238,2h 27m,Family
A Sudden Case of Christmas,5.1, 1.1K,1h 31m,Family
Home Sweet Loan,8.1, 943,1h 52m,Family
Bila Esok Ibu Tiada,6.7, 323,1h 44m,Family
Der Buchspazierer,7.3, 398,1h 38m,Family
Fear,8.4, 2.8K,1h 55m,Family
Marry Christmas,6.7, 61,1h 25m,Family
Robin and the Hoods,4.3, 512,1h 40m,Family
Gracie and Pedro: Pets to the Rescue,5.1, 276,1h 27m,Family
School of Magical Animals 3,5.8, 315,1h 45m,Family
Return to Wickensburg,5.0, 30,1h 28m,Family
Big City Greens the Movie: Spacecation,6.2, 544,1h 23m,Family
The Neon Highway,6.0, 492,1h 53m,Family
Believe in Christmas,6.1, 829,1h 30m,Family
A Nashville Wish,5.7, 93,1h 42m,Family
Living Large,7.0, 125,1h 20m,Family
Babah,6.7, 169,2h 9m,Family
No Time to Spy: A Loud House Movie,6.4, 450,1h 21m,Family
Disaster Holiday,4.8, 703,1h 33m,Family
Kvitebjørn,5.9, 62,1h 25m,Family
Dalia y el Libro Rojo,6.5, 94,1h 47m,Family
Father There is Only One 4,5.2, 617,1h 30m,Family
The Primrose Railway Children,5.0, 144,1h 21m,Family
Rajkumar,7.4, 2.7K,2h 25m,Family
Like a Rolling Stone,7.7, 451,1h 46m,Family
Brewster's Millions: Christmas,5.6, 190,1h 40m,Family
Rally Caps,5.5, 140,1h 40m,Family
"Die Heinzels: Neue Mützen, Neue Mission",6.4, 92,1h 16m,Family
Kattis Gang,5.7, 415,2h 24m,Family
Cup,8.5, 69,2h 26m,Family
Rajakili,6.7, 588,2h 2m,Family
My Freaky Family,6.3, 407,1h 26m,Family
Ghost Cat Anzu,6.5, 778,1h 37m,Family
My Oni Girl,6.0, 1.8K,1h 52m,Family
"Maya, donne-moi un titre",6.4, 54,1h 1m,Family
14 Days Love,7.6, 10,1h 52m,Family
Going Viral,6.9, 53,1h 30m,Family
SuperKlaus,4.3, 202,1h 28m,Family
Paper Flowers,8.8, 33,1h 40m,Family
Juliette au printemps,6.4, 261,1h 35m,Family
Heartsping : Teenieping of Love,7.1, 24,TV-Y,Family
