Title,Rating,Votes,Duration,Genre
The Life of Chuck,7.6, 575,1h 50m,Fantasy
Mufasa: The Lion King,6.6, 64K,1h 58m,Fantasy
Nosferatu,7.2, 194K,2h 12m,Fantasy
Wicked,7.5, 158K,2h 40m,Fantasy
Moana 2,6.6, 102K,1h 40m,Fantasy
Flow,7.9, 75K,1h 25m,Fantasy
Sonic the Hedgehog 3,6.9, 59K,1h 50m,Fantasy
Parthenope,6.6, 12K,2h 17m,Fantasy
Transformers One,7.6, 51K,1h 44m,Fantasy
Better Man,7.6, 27K,2h 15m,Fantasy
Beetlejuice Beetlejuice,6.6, 148K,1h 45m,Fantasy
The Crow,4.7, 35K,1h 51m,Fantasy
Inside Out 2,7.5, 217K,1h 36m,Fantasy
The Lord of the Rings: The War of the Rohirrim,6.3, 31K,2h 14m,Fantasy
Megalopolis,4.7, 36K,2h 18m,Fantasy
IF,6.4, 58K,1h 44m,Fantasy
Red One,6.3, 140K,2h 3m,Fantasy
Solo Leveling: ReAwakening,8.8, 12K,2h 1m,Fantasy
Damsel,6.1, 110K,1h 50m,Fantasy
Godzilla x Kong: The New Empire,6.0, 122K,1h 55m,Fantasy
Ghostbusters: Frozen Empire,6.1, 94K,1h 55m,Fantasy
The Watchers,5.7, 57K,1h 42m,Fantasy
Kung Fu Panda 4,6.3, 68K,1h 34m,Fantasy
The Balconettes,6.0, 939,1h 44m,Fantasy
Uglies,4.7, 33K,1h 40m,Fantasy
The Garfield Movie,5.7, 24K,1h 41m,Fantasy
Harold and the Purple Crayon,5.7, 8.4K,1h 30m,Fantasy
Descendants: The Rise of Red,4.7, 7K,1h 31m,Fantasy
Monster Summer,5.7, 3.7K,1h 37m,Fantasy
Kalki 2898 AD,7.0, 67K,3h,Fantasy
Spellbound,5.5, 7.4K,1h 49m,Fantasy
Rebel Moon - Part Two: The Scargiver,5.3, 59K,2h 2m,Fantasy
The Wonderful Story of Henry Sugar and Three More,7.1, 6.8K,1h 28m,Fantasy
The Tearsmith,5.2, 12K,1h 43m,Fantasy
Dear Santa,5.4, 19K,1h 47m,Fantasy
The End,5.5, 1.9K,2h 28m,Fantasy
Girl Haunts Boy,6.3, 3K,1h 40m,Fantasy
Thelma the Unicorn,5.7, 3K,1h 33m,Fantasy
Family Pack,5.5, 9.1K,1h 34m,Fantasy
The Best Christmas Pageant Ever,6.8, 6.1K,1h 39m,Fantasy
Buffalo Kids,6.6, 696,1h 33m,Fantasy
Harry Potter and the Stone,7.8, 166,2h 32m,Fantasy
Hagen,6.1, 1.2K,2h 19m,Fantasy
Orion and the Dark,6.3, 17K,1h 33m,Fantasy
Irish Wish,5.2, 21K,1h 33m,Fantasy
The Thundermans Return,5.0, 1.8K,1h 10m,Fantasy
The American Society of Magical Negroes,3.7, 12K,1h 44m,Fantasy
Hanu Man,7.7, 29K,2h 38m,Fantasy
Justice League: Crisis on Infinite Earths - Part One,6.2, 8.5K,1h 33m,Fantasy
This Is Me... Now,4.1, 7.1K,1h 5m,Fantasy
Justice League: Crisis on Infinite Earths - Part Three,6.1, 4.5K,1h 34m,Fantasy
Pedro Páramo,6.3, 3K,2h 10m,Fantasy
Cinderella's Revenge,3.7, 1.1K,1h 25m,Fantasy
The Sand Castle,4.7, 1.7K,1h 38m,Fantasy
Timestalker,5.5, 3K,1h 29m,Fantasy
That Christmas,6.8, 17K,1h 31m,Fantasy
Hot Frosty,5.3, 15K,1h 32m,Fantasy
Sketch,8.2, 52,1h 32m,Fantasy
Ultraman: Rising,6.9, 6.4K,1h 57m,Fantasy
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1, 8.5K,1h 44m,Fantasy
Bhool Bhulaiyaa 3,4.6, 77K,2h 38m,Fantasy
Dan Da Dan: First Encounter,8.2, 2.7K,1h 23m,Fantasy
Woody Woodpecker Goes to Camp,4.5, 2.6K,1h 40m,Fantasy
Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, 3.9K,1h 22m,Fantasy
10 Lives,5.9, 1.9K,1h 28m,Fantasy
Doraemon the Movie: Nobita's Earth Symphony,6.6, 1.5K,1h 55m,Fantasy
Cinderella's Curse,3.3, 1.3K,1h 22m,Fantasy
Dragonkeeper,5.7, 1.7K,1h 38m,Fantasy
Mars,7.9, 23,1h 24m,Fantasy
Justice League: Crisis on Infinite Earths - Part Two,5.5, 5.3K,1h 34m,Fantasy
200% Wolf,5.9, 1.3K,1h 38m,Fantasy
Angels Fallen: Warriors of Peace,4.9, 5.8K,1h 43m,Fantasy
Alienoid: The Return to the Future,6.5, 2.6K,2h 2m,Fantasy
The Tiger's Apprentice,5.7, 2.2K,1h 24m,Fantasy
Overlord: The Sacred Kingdom,6.9, 1K,2h 15m,Fantasy
Else,6.0, 243,1h 42m,Fantasy
Panda Bear in Africa,5.5, 348,1h 24m,Fantasy
Woodwalkers,5.3, 436,1h 43m,Fantasy
Seven Cemeteries,4.6, 576,1h 24m,Fantasy
Gaami,6.4, 2K,2h 27m,Fantasy
Kanguva,4.5, 15K,2h 32m,Fantasy
Unspeakable: Beyond the Wall of Sleep,6.1, 55,1h 30m,Fantasy
Super-Charlie,5.8, 123,1h 20m,Fantasy
A.R.M,7.1, 8.7K,2h 30m,Fantasy
Lesbian Space Princess,7.2, 139,1h 27m,Fantasy
Vincent,7.3, 51,1h 32m,Fantasy
Rebellious,6.0, 196,1h 34m,Fantasy
Devil's Knight,5.2, 901,1h 30m,Fantasy
Chantal in Fairyland,4.6, 2.6K,1h 58m,Fantasy
Nonostante,6.1, 161,1h 33m,Fantasy
Ryan's World the Movie: Titan Universe Adventure,1.8, 691,1h 20m,Fantasy
The Night Before Christmas in Wonderland,6.3, 519,1h 20m,Fantasy
