Title,Rating,Votes,Duration,Genre
Nosferatu,7.2, 194K,2h 12m,Mystery
Paddington in Peru,6.7, 21K,1h 46m,Mystery
Smile 2,6.7, 105K,2h 7m,Mystery
Trap,5.8, 138K,1h 45m,Mystery
Juror #2,7.0, 98K,1h 54m,Mystery
Blink Twice,6.5, 105K,1h 42m,Mystery
The Rule of Jenny Pen,6.3, 4.1K,1h 44m,Mystery
Absolution,5.2, 8.1K,1h 52m,Mystery
Red One,6.3, 140K,2h 3m,Mystery
Love Lies Bleeding,6.6, 57K,1h 44m,Mystery
It's What's Inside,6.6, 42K,1h 43m,Mystery
Caddo Lake,6.8, 42K,1h 43m,Mystery
I Saw the TV Glow,5.8, 36K,1h 40m,Mystery
Hellboy: The Crooked Man,4.5, 14K,1h 39m,Mystery
The Watchers,5.7, 57K,1h 42m,Mystery
Cuckoo,5.7, 26K,1h 42m,Mystery
The Instigators,6.2, 38K,1h 41m,Mystery
Sleeping Dogs,6.2, 22K,1h 50m,Mystery
Time Cut,5.0, 19K,1h 31m,Mystery
Slingshot,5.7, 9.6K,1h 48m,Mystery
Die Alone,5.7, 3.1K,1h 30m,Mystery
F*** Marry Kill,5.3, 2.4K,1h 37m,Mystery
The Deliverance,5.1, 22K,1h 52m,Mystery
Watchmen: Chapter I,7.1, 6.6K,1h 23m,Mystery
Monster Summer,5.7, 3.7K,1h 37m,Mystery
Desert Fiends,8.1, 581,1h 46m,Mystery
Exhuma,6.9, 23K,2h 14m,Mystery
The Damned,5.7, 4K,1h 29m,Mystery
Turtles All the Way Down,6.6, 7K,1h 51m,Mystery
Long Gone Heroes,5.2, 1.1K,1h 41m,Mystery
Afraid,5.2, 14K,1h 24m,Mystery
Killer Heat,5.6, 13K,1h 35m,Mystery
Colors of Evil: Red,6.4, 8.5K,1h 51m,Mystery
Blackwater Lane,4.6, 1.9K,1h 48m,Mystery
Force of Nature: The Dry 2,5.8, 7.1K,2h,Mystery
Night Swim,4.7, 27K,1h 38m,Mystery
Do Patti,6.4, 69K,2h 6m,Mystery
Skincare,5.7, 4.4K,1h 36m,Mystery
Watchmen: Chapter II,7.0, 3.1K,1h 30m,Mystery
A Sacrifice,5.0, 5.3K,1h 34m,Mystery
The Best Christmas Pageant Ever,6.8, 6.1K,1h 39m,Mystery
The Girl in the Pool,4.3, 1.5K,1h 29m,Mystery
Boneyard,4.1, 5K,1h 36m,Mystery
Damaged,4.7, 7.3K,1h 37m,Mystery
Imaginary,4.7, 17K,1h 44m,Mystery
Orion and the Dark,6.3, 17K,1h 33m,Mystery
Reunion,5.6, 3.5K,1h 30m,Mystery
Karma,8.0, 1.4K,2h 47m,Mystery
Kishkindha Kaandam,8.0, 12K,2h 13m,Mystery
Sookshma Darshini,7.8, 10K,2h 22m,Mystery
Revolver,5.4, 869,1h 54m,Mystery
Thalavan,7.2, 4.7K,2h 11m,Mystery
Gazer,6.1, 147,1h 54m,Mystery
Sikandar Ka Muqaddar,6.0, 24K,2h 22m,Mystery
Cheat,4.2, 206,1h 45m,Mystery
Outbreak,4.4, 846,1h 28m,Mystery
Badland Hunters,5.9, 12K,1h 47m,Mystery
Pedro Páramo,6.3, 3K,2h 10m,Mystery
Cinderella's Revenge,3.7, 1.1K,1h 25m,Mystery
Depravity,4.3, 1K,1h 57m,Mystery
The Sand Castle,4.7, 1.7K,1h 38m,Mystery
Golam,7.2, 5.7K,2h,Mystery
The Price of Money: A Largo Winch Adventure,5.0, 1.2K,1h 40m,Mystery
Strictly Confidential,2.8, 854,1h 34m,Mystery
The Dead Thing,4.8, 934,1h 34m,Mystery
Mr. K,6.1, 428,1h 34m,Mystery
Handling the Undead,5.3, 4.3K,1h 37m,Mystery
Dan Da Dan: First Encounter,8.2, 2.7K,1h 23m,Mystery
Døde menn går på ski,5.2, 302,1h 29m,Mystery
Believer,4.6, 393,1h 48m,Mystery
Drugstore June,5.4, 1.7K,1h 31m,Mystery
Midnight Taxi,5.5, 85,1h 37m,Mystery
The Soul Eater,5.9, 2.6K,1h 48m,Mystery
Rippy,4.1, 859,1h 23m,Mystery
